Month,Year,Day,Solar Radiation (w/m^2),Sunshine (Hours),Cloudy (Hours),R.H_9_am ,R.H_2_pm,Max Temp (°C),Min Temp (°C),Rainfall (millimeter),Evaporation (millimeter)
March,2016,5,410.81,7.8,9.2,82,42,33.6,21.4,0,3
March,2016,6,309.14,4.6,7.5,90,63,32.2,20.4,0,2
March,2016,7,296.43,4.2,3.5,91,63,32.6,21.8,45,6
March,2016,8,429.87,8.4,2.3,81,50,32.4,19.4,0,2
March,2016,9,423.52,8.2,2.5,90,45,32.8,21.4,0,4
March,2016,10,404.46,7.6,5.9,60,51,34.5,22.2,0,4
March,2016,11,375.86,6.7,6.2,74,46,35,23.8,0,3
March,2016,12,391.75,7.2,4.1,64,46,34.8,24.4,0,5
March,2016,13,404.46,7.6,4.2,74,40,34.6,22,0,4
March,2016,14,309.14,4.6,2.1,66,44,31.7,23.4,0,5
March,2016,15,312.32,4.7,4.3,66,44,32.4,20.2,0,4
March,2016,16,423.52,8.2,2.9,59,45,33.2,20,1.8,3.8
March,2016,17,407.63,7.7,4.6,74,39,32.8,21.4,0,5
March,2016,18,439.4,8.7,5.6,59,40,33.7,19.8,0,5
March,2016,19,401.28,7.5,6.2,59,44,34,18.2,5.6,2.6
March,2016,20,239.25,2.4,2.9,90,76,31.5,21,0,2
March,2016,21,201.1,1.2,3,91,69,31.4,22.4,0,
March,2016,22,359.98,6.2,3.4,91,58,35,23.5,0,4
March,2016,23,439.4,8.7,2.2,75,30,34.8,23,0,5
March,2016,24,455.29,9.2,2.5,61,30,35,22.8,0,6
March,2016,25,452.11,9.1,2.6,74,40,35.2,19.8,0,5
March,2016,26,372.68,6.6,4.3,67,46,35,20,0,4
March,2016,27,404.46,7.6,7.2,74,52,35.4,22.2,0,5
March,2016,28,328.21,5.2,2.4,83,69,33.4,23.6,0,5
March,2016,29,201.12,1.2,5.6,83,100,29,26.2,18.4,1.4
March,2016,30,302.79,4.4,6.6,90,69,32.6,20,17,4
March,2016,31,391.75,7.2,5.2,83,63,34.2,20.6,1.6,5.6
April,2016,1,176.6,,5.1,70,56,37,28,,2
April,2016,2,215.59,1.2,7.2,90,73,25.2,19,26.2,1.2
April,2016,3,189.59,0.4,5.8,81,100,29.2,19.8,10.2,4.2
April,2016,4,313.07,4.2,6.8,91,58,30.6,23.2,11.4,3.4
April,2016,5,215.59,1.2,11.2,91,75,33.2,23.6,0,3
April,2016,6,449.55,8.4,4.2,83,83,31.4,24.2,0,6
April,2016,7,462.55,8.8,6.7,84,65,33.6,26.2,0,6
April,2016,8,397.56,6.8,8.3,76,64,38.4,26.8,0,5
April,2016,9,423.55,7.6,8.7,84,59,38.7,26.7,0,4
April,2016,10,475.54,9.2,5.3,91,70,36.4,26,0,6
April,2016,11,475.54,9.2,7.9,83,65,39.8,26.4,0,6
April,2016,12,478.79,9.3,8.4,77,59,39.8,26,0,6
April,2016,13,482.04,9.4,6.2,77,65,40.6,26.6,0,6
April,2016,14,456.05,8.6,3.3,77,39,40.6,27.2,0,7
April,2016,15,384.56,6.4,6.2,69,59,37.8,27.4,0,5
April,2016,16,413.8,7.3,5.3,69,64,37,27.6,16.2,
April,2016,17,378.06,6.2,4.6,76,64,35.8,28.2,0,5
April,2016,18,280.58,3.2,3.5,76,70,37.2,23.4,0,4
April,2016,19,446.3,8.3,3.3,76,70,34.4,26.8,0,6
April,2016,20,423.55,7.6,3.2,69,59,38.4,27,0,6
April,2016,21,443.05,8.2,2.2,76,65,37.8,26.8,0,7
April,2016,22,449.55,8.4,1.7,76,65,36.8,27.8,0,6
April,2016,23,456.05,8.6,2.3,70,65,37.6,28,0,7
April,2016,24,462.55,8.8,3.3,70,59,37.4,28.4,0,7
April,2016,25,495.04,9.8,3.8,77,27,41.2,28.6,0,7
April,2016,26,508.4,10.2,8.3,76,54,37.4,28.2,0,6
April,2016,27,488.54,9.6,8.4,69,53,37.6,28.4,0,6
April,2016,28,443.05,8.2,4.9,77,59,37.5,27.5,0,7
April,2016,29,504.79,10.1,5.1,70,65,39.4,25.8,,5
April,2016,30,361.81,5.7,2.2,70,65,38,25.6,,5
May,2016,1,459.13,8.4,3.1,77,59,36.5,27.8,4.2,6.2
May,2016,2,277.84,2.8,8.7,64,76,32.2,22.1,0,4
May,2016,3,264.89,2.4,9.8,66,63,32.4,22,0,4
May,2016,4,407.33,6.8,13.3,66,50,33.6,22.2,0,5
May,2016,5,342.59,4.8,3.2,76,63,34.7,25.2,13.2,4.2
May,2016,6,400.86,6.6,3.1,83,77,32.8,23.6,5.2,3.2
May,2016,7,290.79,3.2,5,74,71,31.2,23.4,3.2,2.2
May,2016,8,504.45,8.8,6.1,74,59,33.6,22.5,0,5
May,2016,9,368.48,5.5,4.8,73,68,35.8,26.2,0,3
May,2016,10,420.28,7.2,6.5,69,54,36.6,24.8,0,4
May,2016,11,481.79,9.1,4.2,69,54,36.6,25.6,0,5
May,2016,12,355.53,5.2,5.5,63,76,36.4,26.4,31.4,
May,2016,13,277.84,2.8,6.6,79,76,31.2,21.8,94.6,
May,2016,14,368.48,5.6,8.5,83,70,32.6,22.2,0,4
May,2016,15,420.28,7.2,4.8,84,70,34,27.2,0,5
May,2016,16,514.16,10.1,5.7,73,64,34.8,24.2,0,6
May,2016,17,504.45,9.8,7,77,59,35.2,28.2,0,7
May,2016,18,329.64,4.4,7.5,76,69,32.8,26.8,12.4,4.4
May,2016,19,258.42,2.2,8.6,100,87,28.4,23.2,0,3
May,2016,20,284.31,3,5,83,90,30.2,24,50,1
May,2016,21,187.2,,5.9,100,76,30.2,23.4,0.6,1.6
May,2016,22,362.01,5.4,6.8,100,76,31.4,24.2,0,4
May,2016,23,460.6,8.6,9.5,77,70,34.4,26.4,0,5
May,2016,24,329.64,4.4,13.3,77,79,34.4,27.2,10,5
May,2016,25,387.91,6.2,11.6,100,70,33.5,23.2,13.8,4.8
May,2016,26,394.38,6.4,4.5,76,63,34.6,21.2,29,
May,2016,27,187.2,,4.7,75,100,33,22.2,38,
May,2016,28,238.99,1.6,4.8,100,91,33.6,22,40.2,
May,2016,29,255.18,2.1,4.5,87,77,32.5,25.4,16.4,4.4
May,2016,30,387.91,6.2,8.8,84,69,32.8,25.2,2.4,5.4
May,2016,31,303.74,3.6,6.7,91,91,33.8,24.2,16.6,4.6
June,2016,1,344.59,4.8,7.8,79,77,32.4,24.2,0,3
June,2016,2,315.07,10.1,12.1,69,64,35,25.6,0,5
June,2016,3,518.29,10.2,9.4,70,64,35,27,0,7
June,2016,4,492.56,9.4,11.4,74,59,35.6,27.6,0,7
June,2016,5,376.76,5.8,13.6,69,64,34.6,27.2,0,7
June,2016,6,260.96,2.2,5,70,64,34,27.3,3.2,6.2
June,2016,7,235.23,1.4,6.2,84,100,30.6,26.4,32,2
June,2016,8,396.06,6.4,9.3,83,77,32.5,22.8,0,4
June,2016,9,331.73,4.4,8.2,87,64,32.2,26.8,0,5
June,2016,10,344.59,4.8,8.3,76,64,34.7,26.7,2.4,4.4
June,2016,11,190.2,,44,77,100,33.8,28.8,30.2,6.2
June,2016,12,190.2,,84,100,83,30,24.4,23.2,
June,2016,13,228.79,1.2,10.2,83,76,31.2,22.2,0,4
June,2016,14,235.23,1.4,13.6,91,77,31.8,25.2,0,3
June,2016,15,260.96,2.2,13.6,84,77,32.6,26.8,1.4,3.4
June,2016,16,376.76,5.8,7.2,84,70,33.5,26.8,13.6,8.6
June,2016,17,441.09,7.8,9.4,76,64,33,26.6,1,6
June,2016,18,369.06,6.4,5.3,76,70,33.4,26,0,5
June,2016,19,486.12,9.2,6.8,77,70,33.6,26.8,2.4,5.4
June,2016,20,389.63,6.2,9.2,69,70,34.6,27.4,0,6.7
June,2016,21,280.26,2.8,7.4,76,71,35,27.8,2.2,5.2
June,2016,22,190.2,,10.4,76,70,33.5,27.6,18,5
June,2016,23,267.39,2.4,2.4,91,77,32.6,25.8,0.2,2.2
June,2016,24,289.91,3.1,3.8,77,69,34.2,27.2,3,5
June,2016,25,299.56,3.4,,84,70,34,26.2,0,
June,2016,26,389.63,6.2,,77,64,35.4,27.4,6.8,
June,2016,27,460.39,8.4,,69,64,34,27.2,0,2
June,2016,28,473.26,8.8,,77,70,34.6,28,0,5
June,2016,29,421.79,7.2,,77,64,34.8,28.2,0,4
June,2016,30,363.89,5.4,,77,64,34.5,28.4,0,5
